latitude,longitude
40.141762,139.986952
40.141763,139.986955
40.141765,139.986958
40.141765,139.986958
40.141767,139.986958
40.141768,139.98696
40.14177,139.986962
40.141773,139.986965
40.141778,139.98697
40.141783,139.986973
40.141783,139.986973
40.141783,139.986973
40.141783,139.986973
40.141783,139.986973
40.141783,139.986973
40.141787,139.986975
40.14179,139.986975
40.141795,139.986977
40.141795,139.986977
40.141797,139.986977
40.1418,139.986975
40.141803,139.986975
40.141808,139.986977
40.141812,139.98698
40.141817,139.986982
40.141823,139.986987
40.14183,139.98699
40.141835,139.98699
40.141842,139.98699
40.14185,139.986992
40.141857,139.986992
40.141863,139.986993
40.14187,139.986992
40.141878,139.98699
40.141885,139.98699
40.141893,139.98699
40.1419,139.986993
40.141908,139.986997
40.141917,139.987
40.141925,139.987007
40.141932,139.987012
40.141938,139.987015
40.141947,139.98702
40.141955,139.987025
40.141962,139.98703
40.141968,139.987037
40.141973,139.987043
40.14198,139.98705
40.141987,139.987057
40.141993,139.987062
40.142,139.987067
40.142007,139.987073
40.142015,139.987077
40.142022,139.98708
40.14203,139.987083
40.142038,139.987087
40.142048,139.987092
40.142067,139.987105
40.142085,139.987115
40.142103,139.987117
40.142117,139.987122
40.142125,139.987123
40.142137,139.987127
40.142148,139.987135
40.142157,139.987147
40.14216,139.987157
40.142167,139.987165
40.142175,139.987173
40.142183,139.987182
40.142188,139.987185
40.142195,139.98719
40.142205,139.987197
40.142215,139.987203
40.142223,139.987205
40.142232,139.987202
40.142238,139.9872
40.142245,139.987198
40.142252,139.9872
40.142258,139.987202
40.142267,139.987202
40.142275,139.987202
40.142283,139.987203
40.142293,139.987205
40.142307,139.98721
